UF;Município;IFDM;Emprego & Renda;Educação;Saúde
SE;Nossa Senhora do Socorro;0,589782;0,357181;0,634026;0,778139
MG;São Pedro do Suaçuí;0,589751;0,307876;0,811709;0,649667
PB;São Bento;0,589748;0,459518;0,657248;0,652477
BA;Guajeru;0,589742;0,420579;0,585276;0,76337
MG;Santa Rita de Ibitipoca;0,589591;0,404626;0,788156;0,575991
BA;Conde;0,589437;0,514484;0,601917;0,651911
GO;Divinópolis de Goiás;0,589426;0,447485;0,721069;0,599725
CE;Ipaporanga;0,58926;0,250977;0,82907;0,687731
MA;Trizidela do Vale;0,589243;0,465399;0,718614;0,583715
SE;Frei Paulo;0,589172;0,398816;0,59826;0,770439
PI;Uruçuí;0,589131;0,501017;0,649769;0,616607
PE;Saloá;0,589074;0,354528;0,593597;0,819098
MG;Ataléia;0,58902;0,467864;0,743411;0,555785
BA;Maetinga;0,588886;0,288291;0,748693;0,729673
AL;Tanque d'Arca;0,588882;0,296398;0,717105;0,753142
AL;Dois Riachos;0,588721;0,446602;0,487404;0,832157
PB;Emas;0,58871;0,41498;0,672848;0,678301
AM;Boca do Acre;0,588532;0,478031;0,708886;0,578679
PA;Monte Alegre;0,588527;0,445169;0,686079;0,634334
AC;Brasiléia;0,588484;0,386657;0,769938;0,608856
TO;Lagoa da Confusão;0,588459;0,546163;0,641927;0,577287
PE;Riacho das Almas;0,588445;0,436106;0,670837;0,65839
SP;Iaras;0,588409;0,435993;0,777011;0,552224
PI;São Miguel da Baixa Grande;0,588363;0,472595;0,703572;0,588922
PA;Capanema;0,588337;0,440393;0,664338;0,66028
MA;Viana;0,588275;0,449654;0,665116;0,650056
MA;Paraibano;0,588138;0,428646;0,654201;0,681568
MG;Malacacheta;0,588103;0,325884;0,784245;0,654181
SP;Barra do Turvo;0,588091;0,250443;0,796433;0,717397
MG;Itutinga;0,588059;0,319678;0,847309;0,59719
TO;Jaú do Tocantins;0,587958;0,338869;0,731726;0,69328
BA;Valente;0,587925;0,347687;0,752714;0,663374
BA;Filadélfia;0,587923;0,415887;0,678908;0,668974
MS;Eldorado;0,587909;0,31273;0,726526;0,724472
BA;Senhor do Bonfim;0,587899;0,471338;0,730766;0,561594
PI;Esperantina;0,587853;0,403785;0,674608;0,685165
RO;Alto Alegre dos Parecis;0,587786;0,401596;0,67766;0,684103
MG;Comercinho;0,587732;0,313212;0,756608;0,693377
PE;Tupanatinga;0,58773;0,325749;0,688777;0,748664
RO;Theobroma;0,587628;0,266169;0,732202;0,764514
PE;Calçado;0,587519;0,212407;0,634134;0,916016
PI;Cocal de Telha;0,587404;0,291052;0,751992;0,719168
PA;Tailândia;0,587304;0,417705;0,653511;0,690696
TO;Araguacema;0,587163;0,444648;0,6575;0,659341
PB;Bom Sucesso;0,586921;0,402428;0,677286;0,681049
GO;Cavalcante;0,58688;0,480159;0,61107;0,669413
MA;São João do Soter;0,586668;0,462612;0,671589;0,625803
RN;Serra Negra do Norte;0,586463;0,347819;0,742888;0,668683
SE;Divina Pastora;0,586437;0,455595;0,72578;0,577935
